,symbol,datetime,open,high,low,close
202,NOK,2022-10-21 04:00:00,4.14,4.25,4.13,4.25
203,NOK,2022-10-24 04:00:00,4.28,4.34,4.24,4.29
204,NOK,2022-10-25 04:00:00,4.34,4.46,4.32,4.41
205,NOK,2022-10-26 04:00:00,4.41,4.49,4.41,4.43
206,NOK,2022-10-27 04:00:00,4.46,4.48,4.36,4.36
207,NOK,2022-10-28 04:00:00,4.4,4.45,4.36,4.44
208,NOK,2022-10-31 04:00:00,4.38,4.44,4.37,4.4
209,NOK,2022-11-01 04:00:00,4.44,4.47,4.39,4.42
210,NOK,2022-11-02 04:00:00,4.4,4.48,4.33,4.34
211,NOK,2022-11-03 04:00:00,4.28,4.29,4.22,4.22
212,NOK,2022-11-04 04:00:00,4.34,4.397,4.3,4.37
213,NOK,2022-11-07 05:00:00,4.38,4.43,4.36,4.41
214,NOK,2022-11-08 05:00:00,4.49,4.52,4.42,4.46
215,NOK,2022-11-09 05:00:00,4.44,4.48,4.38,4.38
216,NOK,2022-11-10 05:00:00,4.56,4.65,4.52,4.64
217,NOK,2022-11-11 05:00:00,4.66,4.78,4.64,4.75
218,NOK,2022-11-14 05:00:00,4.74,4.79,4.72,4.74
219,NOK,2022-11-15 05:00:00,4.81,4.87,4.75,4.8
220,NOK,2022-11-16 05:00:00,4.79,4.795,4.7,4.71
221,NOK,2022-11-17 05:00:00,4.64,4.74,4.64,4.73
222,NOK,2022-11-18 05:00:00,4.8,4.84,4.78,4.79
223,NOK,2022-11-21 05:00:00,4.71,4.76,4.7,4.71
224,NOK,2022-11-22 05:00:00,4.73,4.78,4.73,4.78
225,NOK,2022-11-23 05:00:00,4.79,4.8372,4.78,4.79
226,NOK,2022-11-25 05:00:00,4.81,4.85,4.8,4.82
227,NOK,2022-11-28 05:00:00,4.79,4.8,4.69,4.7
228,NOK,2022-11-29 05:00:00,4.7,4.74,4.68,4.74
229,NOK,2022-11-30 05:00:00,4.76,4.93,4.73,4.93
230,NOK,2022-12-01 05:00:00,5.0,5.02,4.965,5.0
231,NOK,2022-12-02 05:00:00,5.0,5.08,5.0,5.05
232,NOK,2022-12-05 05:00:00,4.99,5.02,4.93,4.94
233,NOK,2022-12-06 05:00:00,4.93,4.93,4.84,4.87
234,NOK,2022-12-07 05:00:00,4.83,4.87,4.79,4.82
235,NOK,2022-12-08 05:00:00,4.79,4.91,4.7801,4.9
236,NOK,2022-12-09 05:00:00,4.93,4.96,4.8825,4.89
237,NOK,2022-12-12 05:00:00,4.88,4.95,4.84,4.93
238,NOK,2022-12-13 05:00:00,5.1,5.11,4.96,4.99
239,NOK,2022-12-14 05:00:00,4.96,5.04,4.945,4.99
240,NOK,2022-12-15 05:00:00,4.93,4.94,4.79,4.79
241,NOK,2022-12-16 05:00:00,4.65,4.675,4.59,4.63
242,NOK,2022-12-19 05:00:00,4.65,4.67,4.58,4.6
243,NOK,2022-12-20 05:00:00,4.58,4.62,4.58,4.58
244,NOK,2022-12-21 05:00:00,4.6,4.64,4.58,4.64
245,NOK,2022-12-22 05:00:00,4.6,4.63,4.55,4.61
246,NOK,2022-12-23 05:00:00,4.6,4.64,4.585,4.64
247,NOK,2022-12-27 05:00:00,4.62,4.66,4.6,4.62
248,NOK,2022-12-28 05:00:00,4.6,4.63,4.56,4.56
249,NOK,2022-12-29 05:00:00,4.61,4.69,4.6009,4.68
250,NOK,2022-12-30 05:00:00,4.63,4.65,4.6,4.64
